Existing Gen (MW),Op Condition,Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Demand (MW),Op Cost (M$),Congestion,Load Shed (MW),% LS,% UU,2000,,0,51.62617969
4306.475497,6,OPTIMAL,757.4120029,4,0,5063.8875,23.64172442,Yes,0,0,37.87060014,,,,
4348.304961,7,OPTIMAL,943.5900388,4,0,5291.895,35.39956587,Yes,0,0,47.17950194,,,,
4368.838014,8,OPTIMAL,1071.526986,4,0,5440.365,30.28047509,Yes,0,0,53.57634931,,,,
4340.522735,9,OPTIMAL,908.9522647,4,0,5249.475,7.890567344,Yes,0,0,45.44761323,,,,
4374.768693,10,OPTIMAL,1155.738807,4,0,5530.5075,3.844681402,Yes,0,0,57.78694034,,,,
4375.096921,11,OPTIMAL,1160.713079,4,0,5535.81,36.15768551,Yes,0,0,58.03565394,,,,
4306.475497,12,OPTIMAL,757.4120029,4,0,5063.8875,7.565351815,Yes,0,0,37.87060014,,,,
4355.114409,13,OPTIMAL,973.8980911,4,0,5329.0125,6.914675229,Yes,0,0,48.69490456,,,,
4376.081606,14,OPTIMAL,1175.635894,4,0,5551.7175,36.74876695,Yes,0,0,58.78179472,,,,
4355.114409,15,OPTIMAL,973.8980911,4,0,5329.0125,21.52471483,Yes,0,0,48.69490456,,,,
4367.441414,16,OPTIMAL,1051.713586,4,0,5419.155,9.326599275,Yes,0,0,52.58567928,,,,
4368.488864,17,OPTIMAL,1066.573636,4,0,5435.0625,22.37030549,Yes,0,0,53.3286818,,,,
4372.329512,18,OPTIMAL,1121.060488,4,0,5493.39,24.15690222,Yes,0,0,56.05302439,,,,
4320.094392,19,OPTIMAL,818.0281076,4,0,5138.1225,28.96477368,Yes,0,0,40.90140538,,,,
4369.885463,20,OPTIMAL,1086.387037,4,0,5456.2725,24.76680622,Yes,0,0,54.31935184,,,,
4350.250518,21,OPTIMAL,952.2494823,4,0,5302.5,14.08198237,Yes,0,0,47.61247412,,,,
4340.522735,22,OPTIMAL,908.9522647,4,0,5249.475,30.02799239,Yes,0,0,45.44761323,,,,
4359.9783,23,OPTIMAL,995.5467,4,0,5355.525,16.48932644,Yes,0,0,49.777335,,,,
4354.141631,24,OPTIMAL,969.5683694,4,0,5323.71,33.86498168,Yes,0,0,48.47841847,,,,
4368.838014,25,OPTIMAL,1071.526986,4,0,5440.365,36.565102,Yes,0,0,53.57634931,,,,
4336.631622,26,OPTIMAL,891.6333776,4,0,5228.265,32.83157439,Yes,0,0,44.58166888,,,,
4328.849397,27,OPTIMAL,856.9956035,4,0,5185.845,4.537787845,Yes,0,0,42.84978017,,,,
4376.081606,28,OPTIMAL,1175.635894,4,0,5551.7175,37.80207556,Yes,0,0,58.78179472,,,,
4369.536313,29,OPTIMAL,1081.433687,4,0,5450.97,30.6938813,Yes,0,0,54.07168433,,,,
4357.059965,30,OPTIMAL,982.5575347,4,0,5339.6175,36.10659615,Yes,0,0,49.12787673,,,,
4308.421054,31,OPTIMAL,766.0714464,4,0,5074.4925,13.06122235,Yes,0,0,38.30357232,,,,
4357.059965,32,OPTIMAL,982.5575347,4,0,5339.6175,1.453206656,Yes,0,0,49.12787673,,,,
4375.096921,33,OPTIMAL,1160.713079,4,0,5535.81,16.32927733,Yes,0,0,58.03565394,,,,
4328.849397,34,OPTIMAL,856.9956035,4,0,5185.845,14.47770408,Yes,0,0,42.84978017,,,,
4345.386627,35,OPTIMAL,930.6008735,4,0,5275.9875,29.21266773,Yes,0,0,46.53004367,,,,
4345.386627,36,OPTIMAL,930.6008735,4,0,5275.9875,0.771655374,Yes,0,0,46.53004367,,,,
4342.468292,37,OPTIMAL,917.6117082,4,0,5260.08,11.09478139,Yes,0,0,45.88058541,,,,
4304.529941,38,OPTIMAL,748.7525593,4,0,5053.2825,20.85842842,Yes,0,0,37.43762797,,,,
4363.869413,39,OPTIMAL,1012.865587,4,0,5376.735,30.20051903,Yes,0,0,50.64327935,,,,
4302.58581,40,OPTIMAL,740.0916902,4,0,5042.6775,13.69713653,Yes,0,0,37.00458451,,,,
4304.529941,41,OPTIMAL,748.7525593,4,0,5053.2825,7.861216741,Yes,0,0,37.43762797,,,,
4327.876618,42,OPTIMAL,852.6658817,4,0,5180.5425,9.496389228,Yes,0,0,42.63329409,,,,
4371.980362,43,OPTIMAL,1116.107138,4,0,5488.0875,18.47224515,Yes,0,0,55.80535688,,,,
4331.767731,44,OPTIMAL,869.9847688,4,0,5201.7525,25.91470525,Yes,0,0,43.49923844,,,,
4361.923857,45,OPTIMAL,1004.206143,4,0,5366.13,17.98886341,Yes,0,0,50.21030717,,,,
4307.448275,46,OPTIMAL,761.7417246,4,0,5069.19,30.29857475,Yes,0,0,38.08708623,,,,
4368.488864,47,OPTIMAL,1066.573636,4,0,5435.0625,1.826147387,Yes,0,0,53.3286818,,,,
4375.753377,48,OPTIMAL,1170.661623,4,0,5546.415,33.78470445,Yes,0,0,58.53308113,,,,
4368.838014,1,OPTIMAL,1071.526986,5,0,5440.365,2.056786987,Yes,0,0,53.57634931,,,,
4321.339549,2,OPTIMAL,823.5701514,5,0,5144.9097,31.04341904,Yes,0,0,41.17850757,,,,
4343.083088,3,OPTIMAL,920.3480923,5,0,5263.43118,16.15983975,Yes,0,0,46.01740462,,,,
4365.346515,4,OPTIMAL,1021.993485,5,0,5387.34,7.454609135,Yes,0,0,51.09967423,,,,
4326.281262,5,OPTIMAL,845.565138,5,0,5171.8464,37.26484555,Yes,0,0,42.2782569,,,,
4359.884913,6,OPTIMAL,995.1310467,5,0,5355.01596,24.7873378,Yes,0,0,49.75655233,,,,
4344.07143,7,OPTIMAL,924.7470897,5,0,5268.81852,5.282976062,Yes,0,0,46.23735448,,,,
4339.129717,8,OPTIMAL,902.7521031,5,0,5241.88182,15.64511636,Yes,0,0,45.13760515,,,,
4368.539141,9,OPTIMAL,1067.286919,5,0,5435.82606,23.51555531,Yes,0,0,53.36434593,,,,
4342.094745,10,OPTIMAL,915.949095,5,0,5258.04384,18.11696106,Yes,0,0,45.79745475,,,,
4368.539141,11,OPTIMAL,1067.286919,5,0,5435.82606,23.05894259,Yes,0,0,53.36434593,,,,
4350.001486,12,OPTIMAL,951.1410735,5,0,5301.14256,37.9102599,Yes,0,0,47.55705368,,,,
4369.958086,13,OPTIMAL,1087.417334,5,0,5457.37542,5.505049928,Yes,0,0,54.37086668,,,,
4365.346515,14,OPTIMAL,1021.993485,5,0,5387.34,26.2040806,Yes,0,0,51.09967423,,,,
4376.239611,15,OPTIMAL,1178.107929,5,0,5554.34754,36.18385872,Yes,0,0,58.90539646,,,,
4356.919885,16,OPTIMAL,981.9340547,5,0,5338.85394,21.34740984,Yes,0,0,49.09670274,,,,
4344.07143,17,OPTIMAL,924.7470897,5,0,5268.81852,8.144588096,Yes,0,0,46.23735448,,,,
4332.211318,18,OPTIMAL,871.9591219,5,0,5204.17044,7.594200432,Yes,0,0,43.59795609,,,,
4321.339549,19,OPTIMAL,823.5701514,5,0,5144.9097,1.926832906,Yes,0,0,41.17850757,,,,
4368.893878,20,OPTIMAL,1072.319522,5,0,5441.2134,14.74302569,Yes,0,0,53.61597611,,,,
4318.37452,21,OPTIMAL,810.3731595,5,0,5128.74768,20.37070707,Yes,0,0,40.51865798,,,,
4328.257947,22,OPTIMAL,854.3631326,5,0,5182.62108,16.62647187,Yes,0,0,42.71815663,,,,
4374.569658,23,OPTIMAL,1152.841182,5,0,5527.41084,18.39569622,Yes,0,0,57.64205912,,,,
4350.001486,24,OPTIMAL,951.1410735,5,0,5301.14256,36.2475292,Yes,0,0,47.55705368,,,,
