Existing Gen (MW),Op Condition,Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Demand (MW),Op Cost (M$),Congestion,Load Shed (MW),% LS,% UU,,,0.181951013,0.830247033,,,,,133.3333333,133.3333333
4419.345011,34,OPTIMAL,569.2469891,3,0,4988.592,6.887396655,No,0,0,0.753415133,755.5555556,,,,,,,,,
4430.255566,35,OPTIMAL,573.6076337,3,0,5003.8632,16.972837,No,0,0,0.759186574,755.5555556,,,,,,,,,
4422.981863,36,OPTIMAL,570.7005373,3,0,4993.6824,5.1734142,No,0,0,0.755338946,755.5555556,,,,,,,,,
4332.659705,37,OPTIMAL,533.7626952,3,0,4866.4224,3.319153858,No,0,0,0.706450626,755.5555556,,,,,,,,,
4569.587728,38,OPTIMAL,632.8010718,3,0,5202.3888,14.31866845,No,0,0,0.83753083,755.5555556,,,,,,,,,
4390.250196,39,OPTIMAL,557.6186037,3,0,4947.8688,22.21763101,No,0,0,0.738024623,755.5555556,,,,,,,,,
4534.038537,40,OPTIMAL,612.3558632,3,0,5146.3944,43.96327663,No,0,0,0.810470995,755.5555556,,,,,,,,,
4302.546667,41,OPTIMAL,533.3333333,3,0,4835.88,32.68054876,No,0,0,0.705882353,755.5555556,,,,,,,,,
4361.413302,42,OPTIMAL,545.7322985,3,0,4907.1456,28.35313714,No,0,0,0.722292748,755.5555556,,,,,,,,,
4556.34856,43,OPTIMAL,620.58824,3,0,5176.9368,11.4854971,No,0,0,0.821366788,755.5555556,,,,,,,,,
4452.319766,44,OPTIMAL,582.0858343,3,0,5034.4056,14.50954756,No,0,0,0.770407722,755.5555556,,,,,,,,,
4588.141636,45,OPTIMAL,654.9703644,3,0,5243.112,21.44129832,No,0,0,0.866872541,755.5555556,,,,,,,,,
4556.34856,46,OPTIMAL,620.58824,3,0,5176.9368,19.21830703,No,0,0,0.821366788,755.5555556,,,,,,,,,
4606.379052,47,OPTIMAL,685.9275378,3,0.038461731,5294.016,26.42625119,No,1.709410268,0.032289481,0.907845271,755.5555556,,,,,,,,,
4627.654809,48,OPTIMAL,711.1111111,3,0.004307856,5344.92,0.831819349,No,6.154080231,0.115138865,0.941176471,755.5555556,,,,,,,,,
4431.175822,1,OPTIMAL,577.7777778,4,0,5008.9536,8.873728207,No,0,0,0.590909091,977.7777778,,,,,,,,,
4710.340928,2,OPTIMAL,784.9732097,4,0.314625656,5509.2975,27.8506275,No,13.98336247,0.253813893,0.80281351,977.7777778,,,,,,,,,
4692.431199,3,OPTIMAL,747.7730366,4,0.116270251,5450.97,13.17353857,No,10.76576396,0.197501802,0.764767878,977.7777778,,,,,,,,,
4729.186571,4,OPTIMAL,816.9824295,4,0.348915597,5562.3225,27.1129576,No,16.15349984,0.290409264,0.835550212,977.7777778,,,,,,,,,
4710.340928,5,OPTIMAL,784.9732097,4,0.227928808,5509.2975,20.17623237,No,13.98336247,0.253813893,0.80281351,977.7777778,,,,,,,,,
4472.639433,6,OPTIMAL,591.2480669,4,0,5063.8875,24.74616477,No,0,0,0.604685523,977.7777778,,,,,,,,,
4637.562269,7,OPTIMAL,654.3327313,4,0,5291.895,37.56881806,No,0,0,0.66920393,977.7777778,,,,,,,,,
4689.160082,8,OPTIMAL,741.0199743,4,0.26990102,5440.365,32.23750101,No,10.18494414,0.187210677,0.757861337,977.7777778,,,,,,,,,
4606.526831,9,OPTIMAL,642.9481686,4,0,5249.475,8.352281966,No,0,0,0.657560627,977.7777778,,,,,,,,,
4716.828978,10,OPTIMAL,798.5160412,4,0.050036187,5530.5075,4.106528529,No,15.16248083,0.27416075,0.816664133,977.7777778,,,,,,,,,
4718.848351,11,OPTIMAL,801.6220841,4,0.475526527,5535.81,38.63197683,No,15.33956537,0.277097035,0.819840768,977.7777778,,,,,,,,,
4472.639433,12,OPTIMAL,591.2480669,4,0,5063.8875,7.918772725,No,0,0,0.604685523,977.7777778,,,,,,,,,
4659.232921,13,OPTIMAL,667.0287091,4,0.017055391,5329.0125,7.341708336,No,2.750869544,0.051620625,0.682188453,977.7777778,,,,,,,,,
