Existing Gen (MW),Installed New Gen (MW),Status,Candidate Gen (MW),Time,Load Shed Cost (M$),Op Cost (M$),Op Condition,Demand (MW),Congestion,Load Shed (MW),L %,UU %,0,68.0491199
8703.591087,4055.555556,OPTIMAL,3018.983913,4,0,26.86745981,4,11722.575,Yes,0,0,74.44069923,,
8671.773788,4055.555556,OPTIMAL,2939.051212,4,0,20.00499576,5,11610.825,Yes,0,0,72.46975591,,
8404.266895,4055.555556,OPTIMAL,2267.858105,4,0,24.51240378,6,10672.125,Yes,0,0,55.91978888,,
8518.839831,4055.555556,OPTIMAL,2633.810169,4,0,37.10613951,7,11152.65,Yes,0,0,64.94326445,,
8630.4113,4055.555556,OPTIMAL,2835.1387,4,0,31.95284587,8,11465.55,Yes,0,0,69.90752958,,
8496.846254,4055.555556,OPTIMAL,2566.403746,4,0,8.25490142,9,11063.25,Yes,0,0,63.28118826,,
8684.500708,4055.555556,OPTIMAL,2971.024292,4,0,4.071955021,10,11655.525,Yes,0,0,73.25813324,,
8687.682438,4055.555556,OPTIMAL,2979.017562,4,0,38.30304562,11,11666.7,Yes,0,0,73.45522757,,
8404.266895,4055.555556,OPTIMAL,2267.858105,4,0,7.84396921,12,10672.125,Yes,0,0,55.91978888,,
8549.925718,4055.555556,OPTIMAL,2680.949282,4,0,7.260770117,13,11230.875,Yes,0,0,66.10559873,,
8697.227627,4055.555556,OPTIMAL,3002.997373,4,0,38.95330689,14,11700.225,Yes,0,0,74.04651057,,
8549.925718,4055.555556,OPTIMAL,2680.949282,4,0,22.60207472,15,11230.875,Yes,0,0,66.10559873,,
8617.684381,4055.555556,OPTIMAL,2803.165619,4,0,9.832967335,16,11420.85,Yes,0,0,69.11915225,,
8627.22957,4055.555556,OPTIMAL,2827.14543,4,0,23.60058375,17,11454.375,Yes,0,0,69.71043525,,
8662.228599,4055.555556,OPTIMAL,2915.071401,4,0,25.54672407,18,11577.3,Yes,0,0,71.87847291,,
8441.298639,4055.555556,OPTIMAL,2387.276361,4,0,30.14250983,19,10828.575,Yes,0,0,58.86434863,,
8639.95649,4055.555556,OPTIMAL,2859.11851,4,0,26.15191545,20,11499.075,Yes,0,0,70.49881258,,
8527.721513,4055.555556,OPTIMAL,2647.278487,4,0,14.76831875,21,11175,Yes,0,0,65.27535996,,
8496.846254,4055.555556,OPTIMAL,2566.403746,4,0,31.41448596,22,11063.25,Yes,0,0,63.28118826,,
8572.129924,4055.555556,OPTIMAL,2714.620076,4,0,17.33606522,23,11286.75,Yes,0,0,66.9358375,,
8545.484877,4055.555556,OPTIMAL,2674.215123,4,0,35.55114357,24,11219.7,Yes,0,0,65.93955097,,
8630.4113,4055.555556,OPTIMAL,2835.1387,4,0,38.58456859,25,11465.55,Yes,0,0,69.90752958,,
8486.265756,4055.555556,OPTIMAL,2532.284244,4,0,34.31373972,26,11018.55,Yes,0,0,62.43988548,,
8465.10476,4055.555556,OPTIMAL,2464.04524,4,0,4.73317272,27,10929.15,Yes,0,0,60.7572799,,
8697.227627,4055.555556,OPTIMAL,3002.997373,4,0,40.06980294,28,11700.225,Yes,0,0,74.04651057,,
8636.77476,4055.555556,OPTIMAL,2851.12524,4,0,32.4033567,29,11487.9,Yes,0,0,70.30171825,,
8558.8074,4055.555556,OPTIMAL,2694.4176,4,0,37.93263029,30,11253.225,Yes,0,0,66.43769424,,
8409.557144,4055.555556,OPTIMAL,2284.917856,4,0,13.54949903,31,10694.475,Yes,0,0,56.34044027,,
8558.8074,4055.555556,OPTIMAL,2694.4176,4,0,1.52670029,32,11253.225,Yes,0,0,66.43769424,,
8687.682438,4055.555556,OPTIMAL,2979.017562,4,0,17.29814963,33,11666.7,Yes,0,0,73.45522757,,
8465.10476,4055.555556,OPTIMAL,2464.04524,4,0,15.10107487,34,10929.15,Yes,0,0,60.7572799,,
8510.071876,4055.555556,OPTIMAL,2609.053124,4,0,30.59868883,35,11119.125,Yes,0,0,64.33281674,,
8510.071876,4055.555556,OPTIMAL,2609.053124,4,0,0.808267252,36,11119.125,Yes,0,0,64.33281674,,
8502.136503,4055.555556,OPTIMAL,2583.463497,4,0,11.61273207,37,11085.6,Yes,0,0,63.70183965,,
8399.192198,4055.555556,OPTIMAL,2250.582802,4,0,21.61517262,38,10649.775,Yes,0,0,55.4938225,,
8589.893288,4055.555556,OPTIMAL,2741.556712,4,0,31.78238621,39,11331.45,Yes,0,0,67.60002851,,
8394.180119,4055.555556,OPTIMAL,2233.244881,4,0,14.18654178,40,10627.425,Yes,0,0,55.06631214,,
8399.192198,4055.555556,OPTIMAL,2250.582802,4,0,8.146421841,41,10649.775,Yes,0,0,55.4938225,,
8462.459635,4055.555556,OPTIMAL,2455.515365,4,0,9.90277378,42,10917.975,Yes,0,0,60.54695421,,
8659.046869,4055.555556,OPTIMAL,2907.078131,4,0,19.53079908,43,11566.125,Yes,0,0,71.68137858,,
8473.040133,4055.555556,OPTIMAL,2489.634867,4,0,27.05092667,44,10962.675,Yes,0,0,61.38825699,,
8581.011606,4055.555556,OPTIMAL,2728.088394,4,0,18.92187278,45,11309.1,Yes,0,0,67.267933,,
8406.91202,4055.555556,OPTIMAL,2276.38798,4,0,31.42284052,46,10683.3,Yes,0,0,56.13011458,,
8627.22957,4055.555556,OPTIMAL,2827.14543,4,0,1.926578265,47,11454.375,Yes,0,0,69.71043525,,
8694.045897,4055.555556,OPTIMAL,2995.004103,4,0,35.80406036,48,11689.05,Yes,0,0,73.84941623,,
8630.4113,4055.555556,OPTIMAL,2835.1387,5,0,2.170381983,1,11465.55,Yes,0,0,69.90752958,,
8444.684398,4055.555556,OPTIMAL,2398.194602,5,0,32.31635329,2,10842.879,Yes,0,0,59.13356552,,
8503.808222,4055.555556,OPTIMAL,2588.854378,5,0,16.91684886,3,11092.6626,Yes,0,0,63.83476549,,
8598.594002,4055.555556,OPTIMAL,2755.205998,5,0,7.848747996,4,11353.8,Yes,0,0,67.93658626,,
8458.121631,4055.555556,OPTIMAL,2441.526369,5,0,38.8433745,5,10899.648,Yes,0,0,60.20202006,,
8571.703603,4055.555556,OPTIMAL,2713.973597,5,0,26.05957095,6,11285.6772,Yes,0,0,66.91989691,,
8506.495668,4055.555556,OPTIMAL,2597.520732,5,0,5.531821532,7,11104.0164,Yes,0,0,64.0484564,,
8493.058436,4055.555556,OPTIMAL,2554.188964,5,0,16.36175895,8,11047.2474,Yes,0,0,62.98000186,,
8627.687739,4055.555556,OPTIMAL,2828.296461,5,0,24.80960857,9,11455.9842,Yes,0,0,69.73881684,,
8501.120775,4055.555556,OPTIMAL,2580.188025,5,0,18.96096296,10,11081.3088,Yes,0,0,63.62107459,,
8627.687739,4055.555556,OPTIMAL,2828.296461,5,0,24.3278686,11,11455.9842,Yes,0,0,69.73881684,,
8526.584657,4055.555556,OPTIMAL,2645.554543,5,0,39.75538831,12,11172.1392,Yes,0,0,65.23285173,,
8640.61829,4055.555556,OPTIMAL,2860.78111,5,0,5.81319047,13,11501.3994,Yes,0,0,70.5398082,,
8598.594002,4055.555556,OPTIMAL,2755.205998,5,0,27.58953841,14,11353.8,Yes,0,0,67.93658626,,
8698.805765,4055.555556,OPTIMAL,3006.962035,5,0,38.35841722,15,11705.7678,Yes,0,0,74.14426935,,
8558.167919,4055.555556,OPTIMAL,2693.447881,5,0,22.42622204,16,11251.6158,Yes,0,0,66.41378336,,
8506.495668,4055.555556,OPTIMAL,2597.520732,5,0,8.528224862,17,11104.0164,Yes,0,0,64.0484564,,
8474.24631,4055.555556,OPTIMAL,2493.52449,5,0,7.928070692,18,10967.7708,Yes,0,0,61.48416551,,
8444.684398,4055.555556,OPTIMAL,2398.194602,5,0,2.005842618,19,10842.879,Yes,0,0,59.13356552,,
8630.920377,4055.555556,OPTIMAL,2836.417623,5,0,15.55782293,20,11467.338,Yes,0,0,69.93906468,,
8436.622059,4055.555556,OPTIMAL,2372.195541,5,0,21.18928572,21,10808.8176,Yes,0,0,58.4924928,,
8463.496524,4055.555556,OPTIMAL,2458.859076,5,0,17.33969822,22,10922.3556,Yes,0,0,60.62940188,,
8682.642577,4055.555556,OPTIMAL,2966.356223,5,0,19.48074357,23,11648.9988,Yes,0,0,73.14303015,,
8526.584657,4055.555556,OPTIMAL,2645.554543,5,0,38.01173093,24,11172.1392,Yes,0,0,65.23285173,,
8760.225878,4055.555556,OPTIMAL,3161.264122,5,0,19.60954315,25,11921.49,Yes,0,0,77.94897835,,
8458.121631,4055.555556,OPTIMAL,2441.526369,5,0,1.683961322,26,10899.648,Yes,0,0,60.20202006,,
8656.781477,4055.555556,OPTIMAL,2901.386923,5,0,36.34096946,27,11558.1684,Yes,0,0,71.54104741,,
8714.968953,4055.555556,OPTIMAL,3047.567847,5,0,12.87280607,28,11762.5368,Yes,0,0,75.14550856,,
8474.24631,4055.555556,OPTIMAL,2493.52449,5,0,14.6103017,29,10967.7708,Yes,0,0,61.48416551,,
8501.120775,4055.555556,OPTIMAL,2580.188025,5,0,15.62843008,30,11081.3088,Yes,0,0,63.62107459,,
8544.632236,4055.555556,OPTIMAL,2672.922164,5,0,38.69818299,31,11217.5544,Yes,0,0,65.90766981,,
8605.059277,4055.555556,OPTIMAL,2771.448323,5,0,42.57474723,32,11376.5076,Yes,0,0,68.33708194,,
8737.597415,4055.555556,OPTIMAL,3104.415985,5,0,5.550894701,33,11842.0134,Yes,0,0,76.54724346,,
8558.167919,4055.555556,OPTIMAL,2693.447881,5,0,19.84309699,34,11251.6158,Yes,0,0,66.41378336,,
8692.34049,4055.555556,OPTIMAL,2990.71971,5,0,0.495202807,35,11683.0602,Yes,0,0,73.74377367,,
8509.183115,4055.555556,OPTIMAL,2606.187085,5,0,24.58274734,36,11115.3702,Yes,0,0,64.26214731,,
