gen_id,year,capacity_added_mw,cumulative_capacity_mw,investment_cost
275,5,0.0,0.0,0.0
275,6,0.0,0.0,0.0
277,1,0.0,0.0,0.0
277,2,0.0,0.0,0.0
277,3,0.0,0.0,0.0
277,4,0.0,0.0,0.0
277,5,0.0,0.0,0.0
277,6,0.0,0.0,0.0
283,1,0.0,0.0,0.0
283,2,0.0,0.0,0.0
283,3,0.0,0.0,0.0
283,4,0.0,0.0,0.0
283,5,0.0,0.0,0.0
283,6,0.0,0.0,0.0
738,1,0.0,0.0,0.0
738,2,0.0,0.0,0.0
738,3,0.0,0.0,0.0
738,4,0.0,0.0,0.0
738,5,0.0,0.0,0.0
738,6,0.0,0.0,0.0
165,1,0.0,0.0,0.0
165,2,0.0,0.0,0.0
165,3,0.0,0.0,0.0
165,4,0.0,0.0,0.0
165,5,0.0,0.0,0.0
165,6,0.0,0.0,0.0
210,1,0.0,0.0,0.0
210,2,0.0,0.0,0.0
210,3,0.0,0.0,0.0
210,4,0.0,0.0,0.0
