type,line_id,year,hour,flow_mw
existing,3,3,31,-300.0
existing,3,3,32,-300.0
existing,3,3,33,-186.46567107317986
existing,3,3,34,-208.15930464450003
existing,3,3,35,-297.6249525947501
existing,3,3,36,-231.83640651714012
existing,3,3,37,-272.97106562274985
existing,3,3,38,-290.2542025652501
existing,3,3,39,-139.46493222193038
existing,3,3,40,-300.0
existing,3,3,41,-300.0
existing,3,3,42,-300.0
existing,3,3,43,-300.0
existing,3,3,44,-300.0
existing,3,3,45,-300.0
existing,3,3,46,-300.0
existing,3,3,47,-181.72627287649948
existing,3,3,48,-300.0
existing,3,4,1,-252.93928055562918
existing,3,4,2,-300.0
existing,3,4,3,-300.0
existing,3,4,4,-300.0
existing,3,4,5,-300.0
existing,3,4,6,-300.0
existing,3,4,7,-300.0
existing,3,4,8,-292.34984003825974
existing,3,4,9,-166.43645062414015
existing,3,4,10,-197.45922199800043
existing,3,4,11,-294.1212739162502
existing,3,4,12,-300.0
existing,3,4,13,-300.0
existing,3,4,14,-300.0
existing,3,4,15,-300.0
existing,3,4,16,-300.0
existing,3,4,17,66.9810720207497
existing,3,4,18,-300.0
existing,3,4,19,-300.0
existing,3,4,20,109.16595619399959
existing,3,4,21,-300.0
existing,3,4,22,-300.0
existing,3,4,23,-281.82898472524994
existing,3,4,24,-183.13583397303972
existing,3,4,25,-300.0
existing,3,4,26,-300.0
existing,3,4,27,-300.0
existing,3,4,28,-300.0
existing,3,4,29,-300.0
existing,3,4,30,-300.0
existing,3,4,31,-158.06803787025
existing,3,4,32,-300.0
existing,3,4,33,-300.0
existing,3,4,34,-300.0
existing,3,4,35,-300.0
existing,3,4,36,-300.0
existing,3,4,37,-300.0
existing,3,4,38,-300.0
existing,3,4,39,-300.0
existing,3,4,40,-300.0
existing,3,4,41,-300.0
existing,3,4,42,-300.0
existing,3,4,43,-300.0
existing,3,4,44,-300.0
existing,3,4,45,-300.0
existing,3,4,46,55.526893967249634
existing,3,4,47,-300.0
existing,3,4,48,-190.56254768138933
existing,3,5,1,-300.0
existing,3,5,2,-300.0
existing,3,5,3,-179.27075535099993
existing,3,5,4,-149.52309624750023
existing,3,5,5,-148.2963851579998
existing,3,5,6,-151.66983294349984
existing,3,5,7,-278.94076150099954
existing,3,5,8,-300.0
existing,3,5,9,-300.0
existing,3,5,10,-300.0
existing,3,5,11,-300.0
existing,3,5,12,-18.373845448500106
existing,3,5,13,-118.04385159849971
existing,3,5,14,-185.8194557805
existing,3,5,15,-300.0
existing,3,5,16,-300.0
existing,3,5,17,-300.0
existing,3,5,18,-253.84255092132042
existing,3,5,19,-300.0
existing,3,5,20,-300.0
existing,3,5,21,-300.0
existing,3,5,22,-300.0
existing,3,5,23,-300.0
existing,3,5,24,-300.0
existing,3,5,25,-300.0
existing,3,5,26,-188.16438761799964
existing,3,5,27,-178.65740289049927
existing,3,5,28,-145.77189276662028
existing,3,5,29,-151.0564804830001
existing,3,5,30,-257.68907063804016
existing,3,5,31,-300.0
existing,3,5,32,132.51121143900036
existing,3,5,33,-49.04153632699945
existing,3,5,34,-300.0
existing,3,5,35,-300.0
existing,3,5,36,-300.0
existing,3,5,37,-300.0
existing,3,5,38,-300.0
existing,3,5,39,-300.0
existing,3,5,40,-300.0
existing,3,5,41,-97.65680510698093
existing,3,5,42,161.1862246808194
existing,3,5,43,35.064404539459986
existing,3,5,44,-73.09238297900009
existing,3,5,45,-202.51389787290026
existing,3,5,46,-300.0
existing,3,5,47,-300.0
existing,3,5,48,-300.0
existing,3,6,1,-300.0
existing,3,6,2,101.00540836674918
existing,3,6,3,-300.0
existing,3,6,4,-300.0
existing,3,6,5,-300.0
existing,3,6,6,-300.0
existing,3,6,7,-300.0
existing,3,6,8,-300.0
existing,3,6,9,-300.0
existing,3,6,10,-172.92432136600019
existing,3,6,11,-300.0
