id,node_code_st,node_code_en,voltage,length_km,reactance,ttc_mw
255,SS_279,SS_280,230,94.8,0.05177,558
256,VS_968,SS_270,230,15.2,0.00829,558
257,SS_165,SS_3,450,153.2,0.02187,1091
258,SS_272,SS_165,450,106.7,0.01523,1091
259,VS_969,SS_61,230,10.8,0.00589,558
260,SS_35,VS_970,230,3.8,0.00206,558
261,SS_283,VS_972,315,5.2,0.00104,928
262,SS_627,SS_781,315,11.7,0.00235,928
263,SS_350,SS_133,315,17.7,0.00358,928
264,SS_196,SS_366,500,454.5,0.02291,2078
265,SS_196,SS_290,500,230.1,0.0116,1039
266,SS_196,SS_137,500,184.7,0.00931,1039
267,SS_196,SS_137,500,184.7,0.00931,1039
268,SS_173,SS_196,230,99.7,0.05447,558
269,SS_196,SS_287,500,215.1,0.01084,1039
270,VS_977,VS_897,230,18,0.00982,558
271,SS_671,VS_978,230,4.7,0.00255,558
272,VS_914,SS_159,230,1,0.00053,558
273,VS_979,VS_958,230,43.1,0.02354,558
274,SS_250,SS_137,500,132.6,0.00668,1039
275,SS_137,SS_250,500,132.5,0.00668,1039
276,SS_187,SS_251,230,33.6,0.01836,558
277,VS_980,SS_287,230,3.2,0.00175,558
278,SS_719,SS_287,230,16.2,0.00887,558
279,VS_901,SS_134,315,6.9,0.00139,928
280,SS_134,SS_131,315,22.7,0.00458,928
281,SS_134,SS_131,315,23.1,0.00466,928
282,SS_134,SS_154,735,567.7,0.01051,3819
283,SS_132,SS_134,315,65.2,0.01315,928
284,SS_290,SS_183,500,540.6,0.02725,2078
285,SS_183,SS_290,500,540.6,0.02725,2078
286,SS_290,SS_26,500,422,0.02127,2078
287,SS_290,SS_183,500,540.7,0.02725,2078
288,VS_871,SS_291,230,8.3,0.00452,558
289,SS_279,SS_294,500,30.5,0.00154,1039
290,SS_258,SS_279,500,102.8,0.00518,1039
291,SS_295,SS_27,230,42,0.02294,558
292,SS_26,SS_295,230,12.1,0.0066,558
293,SS_117,SS_134,735,260.3,0.00482,1910
294,VS_882,SS_298,230,21.3,0.01162,558
295,SS_298,SS_98,230,147.2,0.0804,558
296,SS_298,VS_881,230,43.5,0.02376,558
297,SS_290,SS_301,230,245.3,0.134,558
298,SS_301,SS_194,230,137.5,0.07515,558
299,SS_723,SS_194,230,8.9,0.00485,558
300,SS_194,SS_183,230,159.6,0.08721,558
301,VS_982,SS_181,315,3.3,0.00066,928
302,SS_31,SS_33,230,3.6,0.00198,558
