id,node_code,region,latitude,longitude,gen_type,Pmin,capacity_mw,om_cost
532,366,N,10,15,hydro,0,2746,8
533,763,N,10,15,hydro,0,1100,8
534,711,N,10,15,gas,0,41,55
535,170,N,10,15,gas,0,411,55
536,441,N,10,15,solar,0,10,15
537,798,N,10,15,battery,0,10,8
538,407,N,10,15,hydro,0,84,15
539,816,N,10,15,solar,0,23,15
540,526,N,10,15,solar,0,24,15
541,434,N,10,15,solar,0,31,15
542,567,N,10,15,solar,0,75,15
543,553,N,10,15,solar,0,14,55
544,118,N,10,15,gas,0,180,15
545,298,N,10,15,solar,0,54,15
546,298,N,10,15,solar,0,10,15
547,298,N,10,15,solar,0,10,15
548,119,N,10,15,solar,0,10,15
549,119,N,10,15,solar,0,10,15
550,119,N,10,15,solar,0,10,15
551,119,N,10,15,solar,0,10,15
552,270,N,10,15,solar,0,10,15
553,270,N,10,15,solar,0,9.5,15
554,270,N,10,15,solar,0,9.5,15
555,270,N,10,15,solar,0,9.5,15
556,270,N,10,15,solar,0,9.5,15
557,270,N,10,15,solar,0,9.5,15
558,270,N,10,15,solar,0,9.5,15
559,519,N,10,15,solar,0,9.5,15
560,454,N,10,15,solar,0,10,15
561,298,N,10,15,solar,0,10,15
562,127,N,10,15,solar,0,10,15
563,520,N,10,15,solar,0,10,8
564,754,N,10,15,hydro,0,13.1,8
565,944,N,10,15,hydro,0,824,40
566,1053,N,10,15,biomass,0,27,15
567,643,N,10,15,solar,0,50,20
568,398,N,10,15,tidal,0,22,8
569,398,N,10,15,hydro,0,47,8
570,591,N,10,15,hydro,0,19,15
571,603,N,10,15,solar,0,22,15
572,1008,N,10,15,solar,0,25,15
573,1045,N,10,15,solar,0,25,8
574,567,N,10,15,hydro,0,10,40
575,656,N,10,15,biomass,0,42,8
576,280,N,10,15,hydro,0,9,40
577,414,N,10,15,biomass,0,112,15
578,279,N,10,15,solar,0,10,8
579,6,N,10,15,hydro,0,9.3,8
580,436,N,10,15,hydro,0,890,15
581,591,N,10,15,solar,0,39,15
582,603,N,10,15,solar,0,17,15
583,1068,N,10,15,solar,0,13,40
584,173,N,10,15,biomass,0,131,40
585,8,N,10,15,biomass,0,76,55
586,83,N,10,15,gas,0,95,55
587,356,N,10,15,gas,0,10,55
588,623,N,10,15,gas,0,42.8,55
589,937,N,10,15,gas,0,98,55
590,1044,N,10,15,gas,0,88,55
591,123,N,10,15,gas,0,78,40
592,397,N,10,15,biomass,0,62,55
593,639,N,10,15,gas,0,105,8
594,1010,N,10,15,hydro,0,147,8
595,1247,N,10,15,hydro,0,112,40
596,1247,N,10,15,biomass,0,60,50
597,278,N,10,15,coal,0,150,8
598,258,N,10,15,hydro,0,47,8
599,765,N,10,15,hydro,0,28,12
600,163,N,10,15,wind,0,102,12
601,20,N,10,15,wind,0,179,55
602,78,N,10,15,gas,0,900,55
603,393,N,10,15,gas,0,117,8
604,1242,N,10,15,hydro,0,239,12
605,1271,N,10,15,wind,0,300,12
606,580,N,10,15,wind,0,230,12
607,96,N,10,15,wind,0,270,12
608,197,N,10,15,wind,0,198,12
609,102,N,10,15,wind,0,182,12
610,397,N,10,15,wind,0,199.5,12
611,444,N,10,15,wind,0,189,12
612,1236,N,10,15,wind,0,180,12
613,108,N,10,15,wind,0,166,12
614,106,N,10,15,wind,0,149,12
615,110,N,10,15,wind,0,124,12
616,687,N,10,15,wind,0,104,12
617,687,N,10,15,wind,0,101,12
618,1237,N,10,15,wind,0,101,12
619,821,N,10,15,wind,0,100,12
620,1090,N,10,15,wind,0,100,12
621,562,N,10,15,wind,0,100,12
622,823,N,10,15,wind,0,99,12
623,383,N,10,15,wind,0,73,12
624,579,N,10,15,wind,0,91,12
625,20,N,10,15,wind,0,76,12
626,389,N,10,15,wind,0,75,12
627,822,N,10,15,wind,0,60,12
628,821,N,10,15,wind,0,51,12
629,580,N,10,15,wind,0,49,12
630,579,N,10,15,wind,0,90,12
631,877,N,10,15,wind,0,40,12
632,577,N,10,15,wind,0,23,12
633,1237,N,10,15,wind,0,99,12
634,385,N,10,15,wind,0,60,70
635,845,N,10,15,diesel,0,50,55
636,589,N,10,15,gas,0,25,8
637,589,N,10,15,hydro,0,22,8
638,656,N,10,15,hydro,0,66,8
639,656,N,10,15,hydro,0,20,8
640,685,N,10,15,hydro,0,34,12
641,685,N,10,15,wind,0,20,12
642,1161,N,10,15,wind,0,18,12
643,459,N,10,15,wind,0,175,12
644,439,N,10,15,wind,0,200,12
645,1160,N,10,15,wind,0,200,12
646,458,N,10,15,wind,0,10,15
647,416,N,10,15,solar,0,10,55
648,303,N,10,15,gas,0,370,8
649,186,N,10,15,hydro,0,63,8
650,68,N,10,15,hydro,0,104,8
651,162,N,10,15,hydro,0,54,8
652,286,N,10,15,hydro,0,29,8
653,186,N,10,15,hydro,0,40,8
654,117,N,10,15,hydro,0,55,8
655,117,N,10,15,hydro,0,30,8
656,328,N,10,15,hydro,0,19.3,8
657,305,N,10,15,hydro,0,22,40
658,634,N,10,15,biomass,0,43,40
659,305,N,10,15,biomass,0,35,40
660,749,N,10,15,biomass,0,28,40
661,104,N,10,15,biomass,0,24.3,40
662,201,N,10,15,biomass,0,23,40
663,559,N,10,15,biomass,0,9.35,55
664,788,N,10,15,gas,0,900,12
665,527,N,10,15,wind,0,220,12
666,820,N,10,15,wind,0,198,12
667,566,N,10,15,wind,0,192,12
668,788,N,10,15,wind,0,140,12
669,1004,N,10,15,wind,0,136,12
